User,Tweet,Time,Location,Label,Verdict
officialktnnews,سنڌ حڪومت وڌيڪ ٽن ضلعن جي 30 هائوسنگ سوسائٽين کي غير قانوني قرار ڏئي ڇڏيو نيو تعلقي سکر جون 11 دادو جون 12 گهوٽڪي جي 6 سوسائٽيون غير قانوني قرار سکر ناصر ٽائون دبئي سٽي نيو روشن آباد ڪومل شاهجهان ريزيڊنسي ال عادل ڪالوني شامل,2023-04-14 15:53:55+00:00,Karachi,1,True
officialktnnews,گڏيل عرب اماراتن عيدالفطر جي موڪلن جو اعلان عرب ميڊيا موجب گڏيل عرب امارت سرڪاري نجي شعبي جي ملازمن لاء عيد جون موڪلون 20 اپريل کان شروع ٿينديون يو اي اي فيڊرل اٿارٽي پاران جاري ڪيل پڌرائي موجب امارات عيدالفطر جون موڪلون 29 رمضان کان 3 شوال تائين هونديون,2023-04-14 12:16:36+00:00,Karachi,1,True
officialktnnews,چيف جسٽس سميت سپريم ڪورٽ جي 8 ججن خلاف سپريم جڊيشل ڪائونسل ريفرنس داخل اسلام آباد چيف جسٽس عمر عطا بنديال سميت سپريم ڪورٽ جي 8 ججن خلاف سپريم جڊيشل ڪائونسل ريفرنس داخل ڪيو ويو آهي,2023-04-14 12:16:19+00:00,Karachi,1,True
officialktnnews,عوامي مسئلن جي حل لاء گورنر هائوس گھنٽي لڳائڻ جو اعلان ڪراچي سنڌ جي گورنر ڪامران ٽيسوري جو چوڻ آهي ته هو گورنر هائوس گھنٽي لڳرائي رهيو آهي ته جيئن عوام جو ڪو ڪم هجي ته اھا گھنٽي وڄائي سنڌ جي گورنر چيو ته اسان هڪ ايپليڪيشن ٺاھي آھي,2023-04-14 12:15:45+00:00,Karachi,1,True
officialktnnews,عيد ويجهو ايندي ئي ڪراچي ڦر جون وارداتون تيز ٿي ويون پوليس ڏوهارين آڏو بيوس بڻيل ملير ٽي ڏينهن اڳ ڦر دوران مزاحمت تي 2 پورهيت حياتيون وڃائي ويٺا قائد آباد شهري کان ڦر جي واردات جا سي سي ٽي وي فٽيجز سامهون اچي ويا  ,2023-04-14 10:26:23+00:00,Karachi,1,True
officialktnnews,وڏي وزير مراد علي شاهه جي صدارت هيٺصحت کاتي بابت اجلاس صحت واري وزير ڊاڪٽر عذرا پيچوهو ٻيا شريڪ اجلاس پلازما پروڊڪٽس لاء سيڙپڪاري ڪرڻ جو فيصلو  ,2023-04-14 09:39:12+00:00,Karachi,1,True
officialktnnews,نوابشاهه قائد عوام يونيورسٽي آف انجنيئرنگ سائنس اينڊ ٽيڪنالاجي بنا ايڪٽنگ وائيس چانسلر جي ھلڻ لڳي يونيورسٽي جي چارج نه ملڻ ڪري ملازمن کي گذريل مارچ مهيني جي پگھار به نه ملي سگھي  ,2023-04-14 09:30:33+00:00,Karachi,1,True
officialktnnews,قبيلائي جھيڙا دراصل قبيلي جي ٻن ڏوھاري درين جا جھيڙا ھوندا آھن جنھن معصوم ماريا ويندا آھن آء جي سنڌ  ,2023-04-14 08:24:35+00:00,Karachi,1,True
officialktnnews,سنڌ حڪومت وڌيڪ ٽن ضلعن جي 30 هائوسنگ سوسائٽيز کي غير قانوني قرار ڏئي ڇڏيو  ,2023-04-14 08:07:08+00:00,Karachi,1,True
officialktnnews,نيب آبپاشي کاتي جي اڳوڻي ڊپٽي سيڪريٽري قاسم چانگ خلاف جاچ شروع ڪري ڇڏي نيب ڪراچي پاران آبپاشي کاتي جي سيڪريٽري کي خط لکي قاسم چانگ جي ڀرتي ترقي ڊڪليئر ٿيل اثاثن جا تفصيل طلب  ,2023-04-14 08:06:20+00:00,Karachi,1,True
officialktnnews,سنڌ پوليس ماضي بہ ڏوھارين خلاف ڪامياب آپريشن ڪيا آھن عوام يقين رکي ڪچي مان بہ بھترين نتيجا ملندا آء جي سنڌ  ,2023-04-14 08:01:34+00:00,Karachi,1,True
officialktnnews,سنڌ هاء ڪورٽ جي 6 ايڊيشنل ججز عهدن جو حلف کڻي ورتو سنڌ هاء ڪورٽ جي چيف جسٽس احمد علي شيخ ڇهن ئي ججز کي عهدن جو حلف کڻايو  ,2023-04-14 07:43:40+00:00,Karachi,1,True
officialktnnews,قبيلائي جھيڙن ٿيندڙ راڄوڻي فيصلن جا نتيجا مثبت ناھن نڪتا ڏوھارين خلاف قانوني ڪاروائي ضروري آھي آء جي سنڌ  ,2023-04-14 07:35:45+00:00,Karachi,1,True
officialktnnews,اسان منشيات پڪڙڻ کان وڌيڪ منشيات فروش پڪڙڻ تي زور ڏنو آھي آء جي سنڌ  ,2023-04-14 07:22:52+00:00,Karachi,1,True
officialktnnews,ڪراچيبلوچ ڪالوني ايڊمن سوسائٽي اتفاقي گولي لڳڻ سبب سڪيورٽي گارد مارجي ويو پوليس مارجي ويل گارڊ جي سڃاڻپ اچار خان جي نالي سان ڪئي وئيلاش جناح اسپتال منتقل  ,2023-04-14 06:42:29+00:00,Karachi,1,True
officialktnnews,ڪراچي سرجاني ٽائون رينجرز پوليس جي گڏيل ڪارروائي ڌاڙي اسٽريٽ ڪرائم جي وارداتن ملوث 2 جوابدار گرفتار  ,2023-04-14 06:35:29+00:00,Karachi,1,True
officialktnnews,ڪراچي سرجاني ٽائون رينجرز پوليس جي گڏيل ڪارروائي ڌاڙي اسٽريٽ ڪرائم جي وارداتن ملوث 2 جوابدار گرفتار  ,2023-04-14 06:27:35+00:00,Karachi,1,True
officialktnnews,گڏيل عرب امارتن پاران پاڪستان کي هڪ ارب ڊالر امداد ڏيڻ جي آء ايم ايف اڳيان تصديق اسٽيٽ بينڪ گڏيل عرب امارتن جي عملدارن سان گڏجي ڊپازٽ لاء دستاويز تيار ڪري رهي آهي اسحاق ڊار  ,2023-04-14 06:22:08+00:00,Karachi,1,True
officialktnnews,شادي بابت سوال تي شاهنواز ڏاهاڻي چيو ته کيس يا گهر وارن اڃان ڪا ڇوڪري پسند نه ڪئي آهي پر گهر وارن چيو آهي ته شادي هڪ سال ٿيندي هن چيو ته پاڪستان شائنز ٽيم جي مصروفيتن سبب هن ڀيري عيد ملڪ کان ٻاهر ٿيندي جنهن سبب گهر جي ماني ڳوٺ وارن سان عيد ملڻ ملهائڻ کي مس ڪندس,2023-04-13 14:10:52+00:00,Karachi,1,True
officialktnnews,فلور ملز ايسوسيئيشن ڪراچي ڪڻڪ جي داخلا تي پابندي خلاف هڙتال جو چتاء,2023-04-13 12:12:15+00:00,Karachi,1,True
officialktnnews,سپريم ڪورٽ پريڪٽس اينڊ پروسيجر ايڪٽ خلاف درخواستون صدر وزيراعظم بارڪنسلز کي نوٽيس جاري,2023-04-13 12:11:28+00:00,Karachi,1,True
officialktnnews,افغانستان مان جن ماڻهن کي واپس آندو ويو اهي دهشتگردي جـي وڌندڙ لهر جا ذميوار آهن خواجه آصف,2023-04-13 12:10:18+00:00,Karachi,1,True
officialktnnews,اسپيڪر راجا پرويز اشرف قومي اسيمبليء جو ان ڪيمرا اجلاس سڀاڻي طلب ڪري ورتو,2023-04-13 12:09:37+00:00,Karachi,1,True
