User,Tweet,Time,Location,Label,Verdict,Sindhi
officialktnnews,سنڌ حڪومت وڌيڪ ٽن ضلعن جي 30 هائوسنگ سوسائٽين کي غير قانوني قرار ڏئي ڇڏيو نيو تعلقي سکر جون 11 دادو جون 12 گهوٽڪي جي 6 سوسائٽيون غير قانوني قرار سکر ناصر ٽائون دبئي سٽي نيو روشن آباد ڪومل شاهجهان ريزيڊنسي ال عادل ڪالوني شامل,2023-04-14 15:53:55+00:00,Karachi,1,True,The Sindh government sealthd ... 6codists available in the 6 Directions of new title Snical Closing Nigelical Ladzja Tentar
officialktnnews,گڏيل عرب اماراتن عيدالفطر جي موڪلن جو اعلان عرب ميڊيا موجب گڏيل عرب امارت سرڪاري نجي شعبي جي ملازمن لاء عيد جون موڪلون 20 اپريل کان شروع ٿينديون يو اي اي فيڊرل اٿارٽي پاران جاري ڪيل پڌرائي موجب امارات عيدالفطر جون موڪلون 29 رمضان کان 3 شوال تائين هونديون,2023-04-14 12:16:36+00:00,Karachi,1,True,Mustular Arab Employment of the United Arabian Employment Canner of the United Arabian Medication Jaw8 Jolf's Employment of Official Nationals of Ramadan Employment Jaws of Ramadan Employment Jolves
officialktnnews,چيف جسٽس سميت سپريم ڪورٽ جي 8 ججن خلاف سپريم جڊيشل ڪائونسل ريفرنس داخل اسلام آباد چيف جسٽس عمر عطا بنديال سميت سپريم ڪورٽ جي 8 ججن خلاف سپريم جڊيشل ڪائونسل ريفرنس داخل ڪيو ويو آهي,2023-04-14 12:16:19+00:00,Karachi,1,True,"Chief Justice Counsions with Agricultural Courtes Al-Ferman, including 8 judges of Sult Court included a surrecent court Reference to the 8 judges of Sultan Court"
officialktnnews,عوامي مسئلن جي حل لاء گورنر هائوس گھنٽي لڳائڻ جو اعلان ڪراچي سنڌ جي گورنر ڪامران ٽيسوري جو چوڻ آهي ته هو گورنر هائوس گھنٽي لڳرائي رهيو آهي ته جيئن عوام جو ڪو ڪم هجي ته اھا گھنٽي وڄائي سنڌ جي گورنر چيو ته اسان هڪ ايپليڪيشن ٺاھي آھي,2023-04-14 12:15:45+00:00,Karachi,1,True,An establishment of Governor was a solution of the public issues that he is pounded Governor of Sindhajadhound and is a significame of a signedment
officialktnnews,عيد ويجهو ايندي ئي ڪراچي ڦر جون وارداتون تيز ٿي ويون پوليس ڏوهارين آڏو بيوس بڻيل ملير ٽي ڏينهن اڳ ڦر دوران مزاحمت تي 2 پورهيت حياتيون وڃائي ويٺا قائد آباد شهري کان ڦر جي واردات جا سي سي ٽي وي فٽيجز سامهون اچي ويا  ,2023-04-14 10:26:23+00:00,Karachi,1,True,W will be near the Karachi of the Kramshi was moving the phrase of the 4 day ago
officialktnnews,وڏي وزير مراد علي شاهه جي صدارت هيٺصحت کاتي بابت اجلاس صحت واري وزير ڊاڪٽر عذرا پيچوهو ٻيا شريڪ اجلاس پلازما پروڊڪٽس لاء سيڙپڪاري ڪرڻ جو فيصلو  ,2023-04-14 09:39:12+00:00,Karachi,1,True,FFFARD FAR MOUNT NUMBERS ACTIAGE RIM & EQbspaper Packets to invest the FRIQUK PATCHEMA to invest
officialktnnews,نوابشاهه قائد عوام يونيورسٽي آف انجنيئرنگ سائنس اينڊ ٽيڪنالاجي بنا ايڪٽنگ وائيس چانسلر جي ھلڻ لڳي يونيورسٽي جي چارج نه ملڻ ڪري ملازمن کي گذريل مارچ مهيني جي پگھار به نه ملي سگھي  ,2023-04-14 09:30:33+00:00,Karachi,1,True,Khalaid Kawad Kaisha Nabirts of the University of Engineering Systems not to receive the University of Engineering of Engineering Synchronization of Engineering Synchronization of Engineering Systems cannot be found
officialktnnews,قبيلائي جھيڙا دراصل قبيلي جي ٻن ڏوھاري درين جا جھيڙا ھوندا آھن جنھن معصوم ماريا ويندا آھن آء جي سنڌ  ,2023-04-14 08:24:35+00:00,Karachi,1,True,"Shelves civob Seashan with Draradul fourrabents are killed, I be made innocent."
officialktnnews,سنڌ حڪومت وڌيڪ ٽن ضلعن جي 30 هائوسنگ سوسائٽيز کي غير قانوني قرار ڏئي ڇڏيو  ,2023-04-14 08:07:08+00:00,Karachi,1,True,The Sindh Government
officialktnnews,نيب آبپاشي کاتي جي اڳوڻي ڊپٽي سيڪريٽري قاسم چانگ خلاف جاچ شروع ڪري ڇڏي نيب ڪراچي پاران آبپاشي کاتي جي سيڪريٽري کي خط لکي قاسم چانگ جي ڀرتي ترقي ڊڪليئر ٿيل اثاثن جا تفصيل طلب  ,2023-04-14 08:06:20+00:00,Karachi,1,True,Number of Errored Department of previous Department of Former Department of Castern Summer of the Undurcharia Casifar to the Kassadai Deprection of Karachi
