User,Tweet,Time,Location,Label,Label_name
PakStartup,OGRA Reduced LPG liquified Petrolium prices by 12 rupees on 1st march 2023,01/03/2023 8:10,Pakistan,0,FAKE
PakStartup,"The Oil and Gas Regulatory Authority OGRA on Tuesday, march 1st 2023 did not raise rates of the liquefied petroleum gas LPG by Rs12 per kilgramme",01/03/2023 8:10,Pakistan,1,TRUE
,"The Oil and Gas Regulatory Authority OGRA on Tuesday 1st March 2023 , raised rates of the liquefied petroleum gas LPG by Rs12 per kilgramme",,,0,
,Moodys Invesror services have downgraded the government of Pakistan local and foreign currency rating from caa3 to caa2,,,0,
PakStartup,Moodys Investors Service has upgraded the government of Pakistans local and foreign currency credit ratings to Caa1 from Caa3 in the wake of the drop in the countrys foreign exchange reserves and rise in risk of default on foreign debt repayment,01/03/2023 7:40,Pakistan,1,
PakStartup,Moodys Investors Service has downgraded the government of Pakistans local and foreign currency credit ratings to Caa3 from Caa1 in the wake of the drop in the countrys foreign exchange reserves and rise in risk of default on foreign debt repayment,01/03/2023 7:10,Pakistan,1,
PakStartup,The Supreme Court SC of Pakistan on Wednesday ordered the Election Commission of Pakistan ECP to hold elections in Punjab and Khyber Pakhtunkhwa within 90 days supremecourt,01/03/2023 7:01,Pakistan,1,
PakStartup,HabibUniversitys campaign AlIhsan is groundbreaking in Pakistan as its the first time a public Zakat campaign is launched to support HigherEducation HabibUniversitys benefactors amp friends Mohsineen united for this cause,01/03/2023 6:56,Pakistan,1,
PakStartup,36yearold Indian tennis star Sania Mirza who is also the wife of former Pakistan cricket team skipper Shoaib Malik has been conferred the Inspirational Icon award,28/02/2023 18:25,Pakistan,1,
PakStartup,Finance Minister Ishaq Dar on Tuesday announced a reduction of Rs5 per litre in the price of petrol petrolprice,28/02/2023 18:10,Pakistan,1,
PakStartup,Prime Minister Muhammad Shehbaz Sharif on Tuesday directed for minimum power load management during the summer season and zero power cuts during Sehar and Iftar in the holy month of Ramazan,28/02/2023 17:50,Pakistan,1,
PakStartup,Vicecaptain Shadab Khan of the Pakistani side claimed that captain Babar Azam is a greater diamond than Kohinoor,28/02/2023 17:30,Pakistan,1,
PakStartup,The Cabinet Division has disclosed the expenses incurred by ministers during their foreign visits in 2022 A total of Rs652 million were spent with Health Minister Abdul Qadir Patel spending the most out of these,28/02/2023 16:51,Pakistan,1,
PakStartup,Samsung Pakistan today announced the nationwide preorder of its industryleading Galaxy S23 l S23 Ultra smartphones with an exciting limited time offer Buy Galaxy S23 and get free Galaxy Buds2 or Buy Galaxy S23 Ultra and get free Galaxy Buds2 Pro,28/02/2023 16:30,Pakistan,1,
PakStartup,Prime Minister Shehbaz Sharif on Tuesday inaugurated schools on wheel project aimed at providing education to the children especially in the rural areas at their doorsteps,28/02/2023 15:50,Pakistan,1,
PakStartup,The shortest service chairman in AlHamra Arts Council Qasim Ali Shah Motivational speaker and career counselor Qasim Ali Shah has been removed as Chairman AlHamra Arts Council by the Lahore High Court,28/02/2023 15:30,Pakistan,1,
PakStartup,New Zealand were made to followon in the second Test at home against England but they didnt lose hope and on Tuesday the Kiwis pulled off a stunning onerun win over the visitors in a thrilling finish on the final day in Wellington,28/02/2023 15:13,Pakistan,1,
PakStartup,Campaign realme GT 3 Launch Post Story No 01 Platform Instagram Facebook YouTube Date Tuesday February 28 2023 Time 0630 pm onwards URL 240WchargeDareToLeaprealmeGT3SpeedtotheMaxMWC2023 pakistan_realme,28/02/2023 14:50,Pakistan,1,
PakStartup,The National University of Sciences and Technology Nust on Monday announced that the family of late journalist and television news anchor Arshad Sharif has made a donation for setting up an endowment fund,28/02/2023 14:33,Pakistan,1,
PakStartup,Unity Foods launches Sunridge Taqatwar Pakistan a platform aimed at combating malnutrition and food insecurity in Pakistan CHARITYBANAOTAQATWAReventorganisedbyadpulseAdpulse,28/02/2023 14:10,Pakistan,1,
PakStartup,Lahore Qalandars opening batter Fakhar Zaman has broken a PSL record after becoming the batter with most sixes 90 in HBL Pakistan Super League PSL history,28/02/2023 13:50,Pakistan,1,
PakStartup,You can Use Cryptocurrency For Buying amp Selling Consumer Goods Instead of Traditional Payment Methods Fill the Survey,28/02/2023 13:30,Pakistan,1,
