Title_Id,News,Title,Tweet,Label,User,Date,Fact Check,,,,,,,Assign,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جنهن پارليامينٽ ۾ عمران خان جي لاءِ ٺهراءُ پاس نه ٿو ٿي سگهي، اتي فلسطين جي قرارداد به پاس ٿيڻ نه ڏينداسين: اسد قيصر.",FALSE,Hayat Sheikh,16-03-2024,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,فلسطين لاءِ ٺهراءُ پاس ڪرڻ سان پاڪستان جا مسئلا وڌي ويندا. اسد قيصر,FALSE,Hayat Sheikh,16-03-2025,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,فلسطين جي حمايت جو مقصد يورپي يونين کي ناراض ڪرڻ آهي. اسد قيصر,FALSE,Hayat Sheikh,16-03-2026,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,پاڪستان جو اسرائيل ۽ فلسطين جي مسئلي سان ڪو به تعلق ناهي. اسد قيصر,FALSE,Hayat Sheikh,16-03-2027,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,count,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جيڪڏهن ڪو فلسطين لاءِ ٺهراءُ پاس ڪرائڻ چاهي ٿو ته ڪري، ان ۾ اسان جو ڪو ڪردار ناهي: اسد قيصر",FALSE,Hayat Sheikh,16-03-2028,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,FALSE,80
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جنهن پارليامينٽ ۾ عمران خان جي لاءِ ٺهراءُ پاس نه ٿو ٿي سگهي، اتي فلسطين جي قرارداد به پاس ٿيڻ نه ڏينداسين: اسد قيصر.
فلسطين لاءِ ٺهراءُ پاس ڪرڻ سان پاڪستان جا مسئلا وڌي ويندا. اسد قيصر
فلسطين جي حمايت جو مقصد يورپي يونين کي ناراض ڪرڻ آهي. اسد قيصر
پاڪستان جو اسرائيل ۽ فلسطين جي مسئلي سان ڪو به تعلق ناهي. اسد قيصر
جيڪڏهن ڪو فلسطين لاءِ ٺهراءُ پاس ڪرائڻ چاهي ٿو ته ڪري، ان ۾ اسان جو ڪو ڪردار ناهي: اسد قيصر
نوٽ، اسان قومي اسيمبلي کي اسرائيل ڏانهن موڪليو آهي، غريب عوام کي شرم اچڻ کپي",FALSE,Hayat Sheikh,16-03-2029,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,TRUE,80
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جنهن پارليامينٽ ۾ عمران خان جي لاءِ ٺهراءُ پاس نه ٿو ٿي سگهي، اتي فلسطين جي قرارداد به پاس ٿيڻ نه ڏينداسين: اسد قيصر.",FALSE,J U I page,16-03-2030,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,Misleading,80
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,فلسطين لاءِ ٺهراءُ پاس ڪرڻ سان پاڪستان جا مسئلا وڌي ويندا. اسد قيصر,FALSE,J U I page,16-03-2031,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,General,80
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,فلسطين جي حمايت جو مقصد يورپي يونين کي ناراض ڪرڻ آهي. اسد قيصر,FALSE,J U I page,16-03-2032,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,Total news,15
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,پاڪستان جو اسرائيل ۽ فلسطين جي مسئلي سان ڪو به تعلق ناهي. اسد قيصر,FALSE,J U I page,16-03-2033,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,Total Tweets,164
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جيڪڏهن ڪو فلسطين لاءِ ٺهراءُ پاس ڪرائڻ چاهي ٿو ته ڪري، ان ۾ اسان جو ڪو ڪردار ناهي: اسد قيصر",FALSE,J U I page,16-03-2034,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,test items,32
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جنهن پارليامينٽ ۾ عمران خان جي لاءِ ٺهراءُ پاس نه ٿو ٿي سگهي، اتي فلسطين جي قرارداد به پاس ٿيڻ نه ڏينداسين: اسد قيصر.
فلسطين لاءِ ٺهراءُ پاس ڪرڻ سان پاڪستان جا مسئلا وڌي ويندا. اسد قيصر
فلسطين جي حمايت جو مقصد يورپي يونين کي ناراض ڪرڻ آهي. اسد قيصر
پاڪستان جو اسرائيل ۽ فلسطين جي مسئلي سان ڪو به تعلق ناهي. اسد قيصر
جيڪڏهن ڪو فلسطين لاءِ ٺهراءُ پاس ڪرائڻ چاهي ٿو ته ڪري، ان ۾ اسان جو ڪو ڪردار ناهي: اسد قيصر
نوٽ، اسان قومي اسيمبلي کي اسرائيل ڏانهن موڪليو آهي، غريب عوام کي شرم اچڻ کپي",FALSE,J U I page,16-03-2035,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,train items,128
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جنهن پارليامينٽ ۾ عمران خان جي لاءِ ٺهراءُ پاس نه ٿو ٿي سگهي، اتي فلسطين جي قرارداد به پاس ٿيڻ نه ڏينداسين: اسد قيصر.",FALSE,PakVocals,15-03-2024,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,فلسطين لاءِ ٺهراءُ پاس ڪرڻ سان پاڪستان جا مسئلا وڌي ويندا. اسد قيصر,FALSE,PakVocals,15-03-2025,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,فلسطين جي حمايت جو مقصد يورپي يونين کي ناراض ڪرڻ آهي. اسد قيصر,FALSE,PakVocals,15-03-2026,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,پاڪستان جو اسرائيل ۽ فلسطين جي مسئلي سان ڪو به تعلق ناهي. اسد قيصر,FALSE,PakVocals,15-03-2027,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
1,Asad Qaiser refuse to support resolution against isreal,سد قيصر قومي اسيمبلي ۾ اسرائيل خلاف مذمتي قرارداد جي حمايت ڪرڻ کان انڪار,"جيڪڏهن ڪو فلسطين لاءِ ٺهراءُ پاس ڪرائڻ چاهي ٿو ته ڪري، ان ۾ اسان جو ڪو ڪردار ناهي: اسد قيصر",FALSE,PakVocals,15-03-2028,"No, Asad Qaiser did not refuse to support NA resolution condemning Israel",,,,,,,1,,
